sire,dam,m_date,d_date,f_date
27,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
28,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
28,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
28,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
29,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
29,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
29,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
30,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
30,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
30,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
31,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
31,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
31,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
32,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
32,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
32,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
33,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
33,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
33,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
34,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
34,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
34,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
35,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
35,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
35,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
36,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
36,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
36,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
37,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
37,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
37,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
38,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
38,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
38,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
39,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
39,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
39,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
40,1,2016-OCT-28,2016-NOV-27,2017-JAN-04
40,2,2016-OCT-28,2016-NOV-27,2017-JAN-04
40,3,2016-OCT-28,2016-NOV-27,2017-JAN-04
41,1,2016-OCT-31,2016-NOV-30,2017-JAN-04
41,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
41,3,2016-OCT-31,2016-NOV-30,2017-JAN-04
42,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
42,2,2016-OCT-31,2016-NOV-30,2017-JAN-04
42,3,2016-OCT-31,2016-NOV-30,2017-JAN-07
43,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
43,2,2016-OCT-31,2016-NOV-30,2017-JAN-04
43,3,2016-OCT-31,2016-NOV-30,2017-JAN-04
44,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
44,2,2016-OCT-31,2016-NOV-30,2017-JAN-04
44,3,2016-OCT-31,2016-NOV-30,2017-JAN-07
45,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
45,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
45,3,2016-OCT-31,2016-NOV-30,2017-JAN-04
46,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
46,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
46,3,2016-OCT-31,2016-NOV-30,2017-JAN-04
47,1,2016-OCT-31,2016-NOV-30,2017-JAN-04
47,2,2016-OCT-31,2016-NOV-30,2017-JAN-04
47,3,2016-OCT-31,2016-NOV-30,2017-JAN-07
48,1,2016-OCT-31,2016-NOV-30,2017-JAN-07
48,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
48,3,2016-OCT-31,2016-NOV-30,2017-JAN-07
49,1,2016-OCT-31,2016-NOV-30,2017-JAN-04
49,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
49,3,2016-OCT-31,2016-NOV-30,2017-JAN-04
50,1,2016-OCT-31,2016-NOV-30,2017-JAN-04
50,2,2016-OCT-31,2016-NOV-30,2017-JAN-07
50,3,2016-OCT-31,2016-NOV-30,2017-JAN-07
